#,ML #,Change,PType,St,HOA Type,Year Built,HOA Fee Frequency,Lot Size,HOA Fee,Property Type,Close Date,Original List Price,Close Price,List Price,Original Mortgage Date,Withdrawn Date,Listing Contract Date,Days On Market,Subdivision Name,SqFt,Beds Total,Bath Total,GAR/CP/TCP,Acres,Pool YN,Address,City,Latitude,Longitude,Current Price
1,20182734,$,RESI,Active,None,1954,,Less Than .5 Acre (not Zero),,Residential,,"$125,000 ",,"$119,900 ",,,10/10/2022,9,Elmwood West,"1,180",3,1,/0/0,0.154,No,1322  S Bowie  Drive ,Abilene,32.435097,-99.784843,"$119,900 "
1,20188601,N,RESI,Active,None,1965,,Less Than .5 Acre (not Zero),,Residential,,"$119,900 ",,"$119,900 ",,,10/12/2022,7,Mayer Add,"1,328",3,2,0/0/0,0.206,No,230 31st  Street  NW ,Paris,33.662969,-95.590746,"$119,900 "
1,20178949,,RESI,Active,None,2008,,Less Than .5 Acre (not Zero),,Residential,,"$120,000 ",,"$120,000 ",,,10/3/2022,16,Purdon Ot,"1,144",3,2,0/0/0,0.422,No,600  SW County Road 3095 ,Purdon,31.94963,-96.615046,"$120,000 "
1,20180627,,RESI,Active,None,1950,,Less Than .5 Acre (not Zero),,Residential,,"$120,000 ",,"$120,000 ",,,10/12/2022,7,Corsicana,"1,080",2,1,0/0/0,0.189,No,1306 Liveoak  Avenue ,Corsicana,32.094651,-96.481339,"$120,000 "
1,20186605,N,RESI,Active,None,2000,,.5 to < 1 Acre,,Residential,,"$120,000 ",,"$120,000 ",,,10/14/2022,5,Lake Forest,"1,678",3,2,0/0/0,0.54,No,130 County Road 3803 ,Hawkins,32.651815,-95.230603,"$120,000 "
1,20187315,N,RESI,Active,None,1926,,Less Than .5 Acre (not Zero),,Residential,,"$120,000 ",,"$120,000 ",,,10/15/2022,4,Park View Place Add,"1,228",3,1,/0/0,0.164,No,1712 Jerome  Street ,Dallas,32.787411,-96.74522,"$120,000 "
1,20188135,N,RESI,Active,None,1955,,Less Than .5 Acre (not Zero),,Residential,,"$120,000 ",,"$120,000 ",,,10/17/2022,2,Westwood Add Rep,"1,026",3,1,1/0/1,0.156,No,1466  N Mockingbird  Lane ,Abilene,32.466669,-99.758187,"$120,000 "
1,20188923,N,RESI,Active,None,1925,,Less Than .5 Acre (not Zero),,Residential,,"$124,500 ",,"$124,500 ",,,10/17/2022,2,Kerens Ot,"1,224",2,1,1/1/2002,0.258,No,105  S Donaldson  Avenue ,Kerens,32.131611,-96.22353,"$124,500 "
1,20179024,$,RESI,Active,None,1970,,Less Than .5 Acre (not Zero),,Residential,,"$150,000 ",,"$125,000 ",,,10/4/2022,15,Ot Cisco 1,"1,324",3,1,/0/0,0.132,No,1101  W 7th  Street ,Cisco,32.383702,-98.990362,"$125,000 "
1,20179615,,RESI,Active,None,1900,,Less Than .5 Acre (not Zero),,Residential,,"$125,000 ",,"$125,000 ",,,10/5/2022,14,Granger Mcdaniel Surv Abs #768,"1,706",3,1,0/0/0,0.26,No,419  W Pine  Street ,Whitewright,33.508406,-96.398648,"$125,000 "
1,20182475,N,RESI,Active,None,1940,,Less Than .5 Acre (not Zero),,Residential,,"$125,000 ",,"$125,000 ",,,10/10/2022,6,Allen,700,1,1,0/1/1,0,No,504  E 1st North  Street ,Kaufman,32.591665,-96.305285,"$125,000 "
1,20184224,,RESI,Active,None,1926,,Less Than .5 Acre (not Zero),,Residential,,"$125,000,000 ",,"$125,000 ",,,10/12/2022,7,Graham Park Add,"1,450",2,2,/0/0,0.155,No,1807 Ash Crescent  Street ,Fort Worth,32.7245,-97.302264,"$125,000 "
1,20185687,$,RESI,Active,Mandatory,1974,Annually,Less Than .5 Acre (not Zero),$170 ,Residential,,"$129,500 ",,"$125,900 ",,,10/14/2022,5,Loon Bay,864,2,1,0/2/2,0.23,No,140 Oak Haven  Drive ,Gun Barrel City,32.337572,-96.154781,"$125,900 "
1,20182710,,RESI,Active,None,1958,,Less Than .5 Acre (not Zero),,Residential,,"$127,500 ",,"$127,500 ",,,10/10/2022,9,Crothers and White,"1,098",2,1,/2/2,0.169,No,1506  S China ,Brady,31.122303,-99.341425,"$127,500 "
1,20181333,B,RESI,Active,None,1956,,Less Than .5 Acre (not Zero),,Residential,,"$128,000 ",,"$128,000 ",,,10/9/2022,10,Park Hlnds Add,907,2,1,1/0/1,0.32,No,202  E Cayuga  Drive ,Athens,32.188043,-95.852188,"$128,000 "
1,20182279,$,RESI,Active,Mandatory,1983,Annually,Less Than .5 Acre (not Zero),$75 ,Residential,,"$134,999 ",,"$129,000 ",,,10/7/2022,12,Pine Harbor Sec A,840,2,2,/0/0,0,No,920 Lakeside Dr ,Jefferson,32.779916,-94.509456,"$129,000 "
1,20182895,,RESI,Active,None,1930,,Less Than .5 Acre (not Zero),,Residential,,"$129,000 ",,"$129,000 ",,,10/12/2022,7,Polytechnic Heights Addition,"2,520",3,2,0/0/0,0.144,No,3405 Avenue G ,Fort Worth,32.729911,-97.27619,"$129,000 "
1,20184474,,RESI,Active,None,2008,,5 to < 10 Acres,,Residential,,"$129,500 ",,"$129,500 ",,,10/12/2022,7,jenkins spings,"1,196",2,1,/0/0,6.11,No,200 Oak View Cir ,Early,31.75214,-98.865631,"$129,500 "
1,20188136,N,RESI,Active,None,2005,,Less Than .5 Acre (not Zero),,Residential,,"$129,600 ",,"$129,600 ",,,10/16/2022,3,Scott Add,864,2,1,/1/1,0.194,No,614 Moran  Street ,Gainesville,33.630194,-97.143656,"$129,600 "
1,20179878,,RESI,Active,None,1950,,Less Than .5 Acre (not Zero),,Residential,,"$129,900 ",,"$129,900 ",,,10/6/2022,13,Melissa Original Donation,800,3,1,/0/0,0.13,No,3404 Fannin  Road ,Melissa,33.2851,-96.573989,"$129,900 "
1,20180385,,RESI,Active,None,1900,,Less Than .5 Acre (not Zero),,Residential,,"$130,000 ",,"$130,000 ",,,10/5/2022,14,Parham Park,"1,844",3,2,0/1/1,0.349,No,3195 Margaret ,Paris,33.659589,-95.517623,"$130,000 "
1,20180751,,RESI,Active,None,1935,,1 to < 3 Acres,,Residential,,"$130,000 ",,"$130,000 ",,,10/6/2022,13,Comal County School Lands #181,"1,750",5,2,/2/2,2,No,301  N Coffman  Street ,Cross Plains,32.127069,-99.174131,"$130,000 "
1,20181160,,RESI,Active,None,1925,,Less Than .5 Acre (not Zero),,Residential,,"$130,000 ",,"$130,000 ",,,10/7/2022,12,Connellee,899,2,1,/1/1,0.215,No,119 Sadosa  E ,Eastland,32.395124,-98.816591,"$130,000 "
1,20185106,,RESI,Active,None,1943,,Less Than .5 Acre (not Zero),,Residential,,"$130,000 ",,"$130,000 ",,,10/12/2022,7,Morris,"1,291",3,1,/1/2,0.19,No,208  N Donald ,Seymour,33.589605,-99.266155,"$130,000 "
1,20185939,N,RESI,Active,None,1932,,Less Than .5 Acre (not Zero),,Residential,,"$130,000 ",,"$130,000 ",,,10/13/2022,6,Sayles Of Bellevue,"1,048",3,1,0/0/0,0.186,No,1157 Peach  Street ,Abilene,32.436166,-99.74173,"$130,000 "
1,20187916,N,RESI,Active,None,9999,,Less Than .5 Acre (not Zero),,Residential,,"$130,000 ",,"$130,000 ",,,10/17/2022,2,Rosewell,"1,810",4,2,/1/0,0.136,No,901  N Parks  Street ,Breckenridge,32.763894,-98.911547,"$130,000 "
1,20181054,$,RESI,Active,None,1960,,Less Than .5 Acre (not Zero),,Residential,,"$139,000 ",,"$134,500 ",,,10/6/2022,12,College Park Add,848,2,1,0/0/0,0.379,No,519  S San Antonio  Street ,Wolfe City,33.365537,-96.074499,"$134,500 "
1,20186838,N,RESI,Active,None,1954,,Less Than .5 Acre (not Zero),,Residential,,"$134,900 ",,"$134,900 ",,,10/14/2022,2,Elmwood West,"1,284",3,1,1/0/0,0,No,418 Lexington  Avenue ,Abilene,32.446089,-99.774601,"$134,900 "
1,20185011,,RESI,Active,None,1945,,Less Than .5 Acre (not Zero),,Residential,,"$134,950 ",,"$134,950 ",,,10/12/2022,7,Cresview Add,"1,200",3,2,/0/0,0.212,No,1439 Avenue A ,Graham,33.113531,-98.569457,"$134,950 "
1,20179809,,RESI,Active,None,1957,,Less Than .5 Acre (not Zero),,Residential,,"$135,000 ",,"$135,000 ",,,10/5/2022,14,None,"1,092",2,1,0/2/2,0.231,No,410  N Birch  Street ,Van,32.529282,-95.651137,"$135,000 "
1,20185119,,RESI,Active,None,1973,,.5 to < 1 Acre,,Residential,,"$135,000 ",,"$135,000 ",,,10/12/2022,7,Mineral Heights,"1,445",3,2,1/1/2002,0.514,No,2701 Aileen ,Greenville,33.113743,-96.108214,"$135,000 "
1,20187662,N,RESI,Active,None,1946,,Less Than .5 Acre (not Zero),,Residential,,"$135,000 ",,"$135,000 ",,,10/17/2022,2,Ross #2,"1,313",2,2,1/0/1,0.324,No,925  S Texas  Street ,De Leon,32.101076,-98.539052,"$135,000 "
1,20189154,N,RESI,Active,None,1922,,Less Than .5 Acre (not Zero),,Residential,,"$135,000 ",,"$135,000 ",,,10/18/2022,1,c,"1,280",0,2,/0/0,0.17,No,1438  S Denley  Drive ,Dallas,32.73035,-96.804764,"$135,000 "
1,20189219,N,RESI,Active,None,1960,,Less Than .5 Acre (not Zero),,Residential,,"$135,000 ",,"$135,000 ",,,10/17/2022,2,NA,"1,412",0,2,1/2/2001,0.193,No,740 Hwy 380 ,Jacksboro,33.207914,-98.188606,"$135,000 "
1,20180424,,RESI,Active,None,1952,,Less Than .5 Acre (not Zero),,Residential,,"$138,116 ",,"$138,116 ",,,10/6/2022,13,Permian Estate,"2,006",3,2,0/0/0,0.165,No,3708 Avondale  Drive ,Midland,31.985527,-102.121784,"$138,116 "
1,20188355,N,RESI,Active,None,9999,,Less Than .5 Acre (not Zero),,Residential,,"$139,000 ",,"$139,000 ",,,10/3/2022,16,J B Walker Add,"1,238",3,2,0/0/0,0.161,No,604 Lloyd  Avenue ,Quitman,32.79895,-95.445501,"$139,000 "
1,20189226,N,RESI,Active,None,1926,,Less Than .5 Acre (not Zero),,Residential,,"$139,000 ",,"$139,000 ",,,10/18/2022,1,Rosen Heights First Filing,856,2,1,0/0/0,0.161,No,2521 Market  Avenue ,Fort Worth,32.791473,-97.361666,"$139,000 "
1,20181933,,RESI,Active,None,1940,,Less Than .5 Acre (not Zero),,Residential,,"$139,500 ",,"$139,500 ",,,10/7/2022,12,Geo Pendley 1930,"1,867",4,1,2/0/2,0.428,No,233 Susquehana  Street ,Gorman,32.208033,-98.669512,"$139,500 "
1,20183472,,RESI,Active,None,1996,,.5 to < 1 Acre,,Residential,,"$139,900 ",,"$139,900 ",,,10/10/2022,9,Spanish Grant Ph IV,"2,428",1,2,/0/0,0.87,No,618 Mesa  Road ,Waxahachie,32.32595,-96.983961,"$139,900 "
